Date,Region,Cost center,Project,Account,Source,Category,Event Type,PO No,Transactional value,Functional value,PO with Line item
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4299,1106.73,1408.98,NEW_PO_4299-
2024-06-01,United Kingdom,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5308,59750.0,74723.35,NEW_PO_5308-
2024-06-01,United Kingdom,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5307,30213.25,37784.69,NEW_PO_5307-
2024-06-01,United Kingdom,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5307,25177.71,31487.24,NEW_PO_5307-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5350,2055.0,2569.98,NEW_PO_5350-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5305,9324.43,11661.13,NEW_PO_5305-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,-123430.8,-33605.82,NEW_PO_3301-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,-123430.8,-33605.82,NEW_PO_3301-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,123430.8,33605.82,NEW_PO_3301-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2052,6982.05,1900.96,NEW_PO_2052-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,123430.8,33605.82,NEW_PO_3301-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,-123430.8,-33605.82,NEW_PO_3301-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,123430.8,33605.82,NEW_PO_3301-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3348,92449.1,98726.39,NEW_PO_3348-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5351,5302.06,5662.07,NEW_PO_5351-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5352,1973.0,2106.97,NEW_PO_5352-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5353,8840.33,9589.99,NEW_PO_5353-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5347,8731.66,9324.54,NEW_PO_5347-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5353,8840.33,9589.99,NEW_PO_5353-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4258,4000.0,4339.2,NEW_PO_4258-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5347,979.0,1045.47,NEW_PO_5347-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4819,1161.6,1260.1,NEW_PO_4819-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5354,1713.0,1829.31,NEW_PO_5354-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5355,1874.85,2002.15,NEW_PO_5355-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5355,294.0,313.96,NEW_PO_5355-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,230.0,245.62,NEW_PO_4213-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3326,19380.0,20695.9,NEW_PO_3326-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,-1196.0,-1277.21,NEW_PO_4213-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,709.3,757.46,NEW_PO_4213-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,-852.5,-910.38,NEW_PO_4213-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2586,1849.0,1974.55,NEW_PO_2586-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,994.1,1061.6,NEW_PO_4213-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,852.5,910.38,NEW_PO_4213-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,-230.0,-245.62,NEW_PO_4213-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,191.8,204.82,NEW_PO_4213-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4213,1196.0,1277.21,NEW_PO_4213-
2024-06-01,Ireland,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4242,2581.32,2756.59,NEW_PO_4242-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4841,218.0,232.8,NEW_PO_4841-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4841,59.05,63.06,NEW_PO_4841-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4841,191.88,204.91,NEW_PO_4841-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4841,263.0,280.86,NEW_PO_4841-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4837,256.0,273.38,NEW_PO_4837-
2024-06-01,Portugal,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4846,2526.4,2697.94,NEW_PO_4846-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4812,23040.0,2094.43,NEW_PO_4812-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5356,1600.0,145.45,NEW_PO_5356-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4812,356.8,32.43,NEW_PO_4812-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5356,2850.0,259.08,NEW_PO_5356-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5357,1700.0,154.54,NEW_PO_5357-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5357,1700.0,154.54,NEW_PO_5357-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4271,395.0,35.91,NEW_PO_4271-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4271,974.0,88.54,NEW_PO_4271-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5357,487.0,44.27,NEW_PO_5357-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5357,5700.0,518.15,NEW_PO_5357-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4271,11613.0,1055.67,NEW_PO_4271-
2024-06-01,Sweden,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5357,2850.0,259.08,NEW_PO_5357-
2024-06-01,Turkey,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2563,224.0,239.21,NEW_PO_2563-
2024-06-01,Ireland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4241,975.0,1057.68,NEW_PO_4241-
2024-06-01,Ireland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4241,75.0,81.36,NEW_PO_4241-
2024-06-01,Ireland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4241,70.0,75.94,NEW_PO_4241-
2024-06-01,Portugal,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4275,-2352.86,-2512.62,NEW_PO_4275-1
2024-06-01,Portugal,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4845,-3536.0,-3776.09,NEW_PO_4845-2
2024-06-01,Portugal,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_2222,-2332.38,-2490.75,NEW_PO_2222-1
2024-06-01,Portugal,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4845,-16388.0,-17500.75,NEW_PO_4845-1
2024-06-01,Portugal,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4846,-2526.4,-2697.94,NEW_PO_4846-1
2024-06-01,Portugal,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_1468,-4832.0,-5160.09,NEW_PO_1468-1
2024-06-01,Portugal,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4275,-291.6,-311.4,NEW_PO_4275-2
2024-06-01,Spain,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_3303,-8417.65,-8989.21,NEW_PO_3303-1
2024-06-01,Spain,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_2175,-2508.09,-2678.39,NEW_PO_2175-5
2024-06-01,Spain,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_3303,-777.04,-829.8,NEW_PO_3303-3
2024-06-01,Spain,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_3305,-2775.0,-2963.42,NEW_PO_3305-1
2024-06-01,Spain,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4848,-1064.0,-1136.25,NEW_PO_4848-1
2024-06-01,Spain,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_2175,-2508.09,-2678.39,NEW_PO_2175-4
2024-06-01,Spain,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4847,-2028.0,-2165.7,NEW_PO_4847-1
2024-06-01,Spain,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_3303,-7009.32,-7485.25,NEW_PO_3303-2
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5358,626.0,782.88,NEW_PO_5358-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5304,12875.0,16101.48,NEW_PO_5304-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2052,6982.05,1900.96,NEW_PO_2052-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3301,41143.6,11201.94,NEW_PO_3301-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2067,6874.8,1871.76,NEW_PO_2067-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2025,20385.3,5550.19,NEW_PO_2025-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2041,1124.2,1124.2,NEW_PO_2041-
2024-06-01,Switzerland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5359,903.66,983.63,NEW_PO_5359-
2024-06-01,Switzerland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5360,1085.91,1182.01,NEW_PO_5360-
2024-06-01,Germany,Center A,0.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5361,116.0,125.84,NEW_PO_5361-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5362,8442.6,9158.53,NEW_PO_5362-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4247,6344.16,6882.14,NEW_PO_4247-
2024-06-01,Spain,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4848,1064.0,1154.23,NEW_PO_4848-
2024-06-01,Spain,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2175,2508.09,2678.39,NEW_PO_2175-
2024-06-01,Finland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5363,720.0,768.89,NEW_PO_5363-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5364,682.61,728.96,NEW_PO_5364-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5365,25152.33,26860.17,NEW_PO_5365-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_274,345.0,368.43,NEW_PO_274-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5365,25152.33,26860.17,NEW_PO_5365-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_274,1840.0,1964.94,NEW_PO_274-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5366,1301.85,1390.25,NEW_PO_5366-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_274,345.0,368.43,NEW_PO_274-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5364,17.59,18.78,NEW_PO_5364-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4283,13981.24,14930.57,NEW_PO_4283-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5365,25152.33,26860.17,NEW_PO_5365-
2024-06-01,France,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5366,388.8,415.2,NEW_PO_5366-
2024-06-01,France,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_2587,1369.0,1461.96,NEW_PO_2587-
2024-06-01,Ireland,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4239,2160.0,2306.66,NEW_PO_4239-
2024-06-01,Ireland,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4239,540.0,576.67,NEW_PO_4239-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5367,920.0,982.47,NEW_PO_5367-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4842,2869.25,3064.07,NEW_PO_4842-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5367,614.0,655.69,NEW_PO_5367-
2024-06-01,Netherlands,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5368,3673.13,3922.54,NEW_PO_5368-
2024-06-01,Netherlands,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5367,218.0,232.8,NEW_PO_5367-
